TIME_SINCE_START	COUNT_RATE	ERR
28385	4.437333333333333E+01	2.110624230061542E+00
28395	2.366243137254902E+02	4.873933239291324E+00
28405	2.660392156862745E+01	1.634265910824127E+00
28415	2.138352941176471E+01	1.465175292920613E+00
28425	2.078117647058824E+01	1.444391611727125E+00
28435	1.947607843137255E+01	1.398300940768288E+00
28445	2.068078431372549E+01	1.440898519281676E+00
28455	2.379294117647059E+01	1.545517609998120E+00
28465	2.148392156862745E+01	1.468610644161535E+00
28475	2.449568627450980E+01	1.568175621201650E+00
28485	2.409411764705882E+01	1.555268606477018E+00
28495	2.258823529411765E+01	1.505882352941176E+00
28505	2.098196078431372E+01	1.451352575478057E+00
28515	2.078117647058824E+01	1.444391611727125E+00
28525	2.309019607843137E+01	1.522522442099762E+00
28535	2.349176470588235E+01	1.535704700564415E+00
28545	2.389333333333333E+01	1.548774763473971E+00
28555	2.519843137254902E+01	1.590510884919704E+00
28565	2.790901960784314E+01	1.673871761622143E+00
28575	2.610196078431373E+01	1.618774889070140E+00
28585	2.590117647058824E+01	1.612536812344120E+00
28595	2.479686274509804E+01	1.577786593430760E+00
28605	2.600156862745098E+01	1.615658861370336E+00
28615	2.549960784313726E+01	1.599987696992299E+00
28625	3.011764705882353E+01	1.738843163676991E+00
28635	2.971607843137255E+01	1.727211975186598E+00
28645	2.871215686274510E+01	1.697785426852419E+00
28655	2.911372549019608E+01	1.709616827324376E+00
28665	2.790901960784314E+01	1.673871761622143E+00
28675	2.821019607843137E+01	1.682879208331566E+00
28685	3.011764705882353E+01	1.738843163676991E+00
28695	2.690509803921569E+01	1.643490438901449E+00
28705	3.011764705882353E+01	1.738843163676991E+00
28715	2.991686274509804E+01	1.733037327222670E+00
28725	2.931450980392157E+01	1.715501928471598E+00
28735	2.961568627450981E+01	1.724291919040519E+00
28745	3.072000000000000E+01	1.756145511859290E+00
28755	3.182431372549020E+01	1.787431535913648E+00
28765	3.102117647058823E+01	1.764733071685968E+00
28775	2.981647058823529E+01	1.730127102957336E+00
28785	2.901333333333333E+01	1.706666666666667E+00
28795	2.901333333333333E+01	1.706666666666667E+00
28805	3.202509803921568E+01	1.793061255478388E+00
28815	3.132235294117647E+01	1.773279044533278E+00
28825	2.971607843137255E+01	1.727211975186598E+00
28835	3.132235294117647E+01	1.773279044533278E+00
28845	2.961568627450981E+01	1.724291919040519E+00
28855	2.851137254901961E+01	1.691838699555410E+00
28865	2.961568627450981E+01	1.724291919040519E+00
28875	3.082039215686275E+01	1.759012690114282E+00
28885	3.333019607843137E+01	1.829232153930149E+00
28895	3.122196078431373E+01	1.770434970458192E+00
28905	2.871215686274510E+01	1.697785426852419E+00
28915	3.333019607843137E+01	1.829232153930149E+00
28925	3.192470588235294E+01	1.790248608640201E+00
28935	3.031843137254902E+01	1.744629679383368E+00
28945	2.750745098039216E+01	1.661785886845174E+00
28955	2.931450980392157E+01	1.715501928471598E+00
28965	3.262745098039215E+01	1.809845346115257E+00
28975	3.363137254901961E+01	1.837478170877302E+00
28985	2.921411764705882E+01	1.712561905867995E+00
28995	2.991686274509804E+01	1.733037327222670E+00
29005	3.363137254901961E+01	1.837478170877302E+00
29015	3.453490196078431E+01	1.861997125370118E+00
29025	3.222588235294118E+01	1.798673354507938E+00
29035	3.112156862745098E+01	1.767586320229297E+00
29045	3.102117647058823E+01	1.764733071685968E+00
29055	3.132235294117647E+01	1.773279044533278E+00
29065	3.262745098039215E+01	1.809845346115257E+00
29075	3.242666666666667E+01	1.804267997426088E+00
29085	3.132235294117647E+01	1.773279044533278E+00
29095	3.202509803921568E+01	1.793061255478388E+00
29105	3.061960784313726E+01	1.753273644832425E+00
29115	2.951529411764706E+01	1.721366909438218E+00
29125	2.991686274509804E+01	1.733037327222670E+00
29135	3.212549019607843E+01	1.795869497223361E+00
